iter	RMSE
0	13.88462644
1	13.45752066
2	13.00990269
3	12.60413282
4	12.19585628
5	11.80847794
6	11.42188483
7	11.04196469
8	10.70152256
9	10.35493995
10	10.02725226
11	9.691542695
12	9.369317644
13	9.07167387
14	8.783907844
15	8.497422186
16	8.252804048
17	8.018322677
18	7.751599381
19	7.525806685
20	7.288638181
21	7.062309765
22	6.855312451
23	6.643504719
24	6.457515382
25	6.252122266
26	6.066157159
27	5.877902032
28	5.69548877
29	5.52404942
30	5.35363458
31	5.181848033
32	5.033285095
33	4.873361812
34	4.719188145
35	4.580184786
36	4.459362372
37	4.328699127
38	4.199979082
39	4.086966104
40	3.970661588
41	3.855501765
42	3.743113094
43	3.635083665
44	3.524314645
45	3.419279634
46	3.316476452
47	3.224741161
48	3.133958543
49	3.047105385
50	2.959078911
51	2.873523154
52	2.788540375
53	2.719907278
54	2.644557468
55	2.576483217
56	2.514577867
57	2.446110331
58	2.376013125
59	2.312170258
60	2.247747857
61	2.188851469
62	2.130827204
63	2.075240228
64	2.019388241
65	1.966338847
66	1.916382619
67	1.868283362
68	1.818338272
69	1.769625017
70	1.725201948
71	1.682379165
72	1.645607448
73	1.601927216
74	1.56736529
75	1.528979348
76	1.494542522
77	1.462453766
78	1.428919994
79	1.400852534
80	1.371115063
81	1.343852769
82	1.314692936
83	1.28953818
84	1.260545758
85	1.232821026
86	1.210956472
87	1.188626523
88	1.164903252
89	1.14177225
90	1.119214102
91	1.097025414
92	1.078060464
93	1.058828815
94	1.039391186
95	1.023482079
96	1.008270255
97	1.003979939
98	0.9885427402
99	0.9718613616
100	0.9676884795
101	0.9542745909
102	0.9507528184
103	0.9368202753
104	0.9226587794
105	0.9087040338
106	0.9044482541
107	0.9010391377
108	0.8872489404
109	0.8760657205
110	0.8721418487
111	0.8682740452
112	0.8559969418
113	0.8524038212
114	0.8476971765
115	0.8451161704
116	0.8361361707
117	0.8262324252
118	0.8172284777
119	0.8082951001
120	0.8049618624
121	0.8014551614
122	0.7980102058
123	0.7890962183
124	0.7794850591
125	0.7765291033
126	0.7713629868
127	0.7687848538
128	0.7637107409
129	0.7590950144
130	0.7524146044
131	0.7428150528
132	0.7401094649
133	0.7310781299
134	0.7220752184
