iter	Passed	Remaining
0	1	1865
1	3	1639
2	4	1640
3	7	1789
4	8	1766
5	10	1666
6	11	1570
7	12	1538
8	13	1481
9	14	1438
10	16	1475
11	17	1475
12	23	1794
13	25	1800
14	26	1771
15	28	1731
16	29	1689
17	30	1657
18	31	1630
19	32	1600
20	33	1574
21	35	1556
22	36	1541
23	37	1535
24	39	1526
25	40	1520
26	41	1500
27	42	1479
28	43	1458
29	44	1440
30	45	1424
31	46	1411
32	47	1397
33	48	1384
34	50	1379
35	51	1372
36	52	1366
37	53	1363
38	55	1357
39	56	1353
40	57	1348
41	58	1344
42	60	1336
43	60	1324
44	61	1314
45	62	1305
46	63	1296
47	65	1292
48	66	1284
49	67	1287
50	69	1296
51	70	1290
52	72	1288
53	73	1283
54	74	1280
55	75	1277
56	76	1271
57	78	1267
58	79	1266
59	81	1270
60	82	1273
61	83	1266
62	84	1259
63	85	1251
64	86	1243
65	87	1235
66	88	1227
67	89	1220
68	90	1216
69	91	1210
70	92	1203
71	93	1199
72	94	1196
73	96	1204
74	98	1209
75	99	1206
76	100	1200
77	101	1195
78	102	1190
79	103	1185
80	103	1179
81	104	1174
82	105	1170
83	106	1165
84	107	1160
85	109	1158
86	110	1157
87	111	1159
88	113	1158
89	114	1160
90	116	1162
91	117	1161
92	118	1158
93	119	1154
94	120	1150
95	121	1146
96	123	1149
97	124	1148
98	126	1149
99	127	1147
100	127	1139
101	129	1136
102	129	1128
103	130	1125
104	131	1122
105	132	1119
106	133	1112
107	133	1104
108	134	1101
109	135	1098
110	136	1094
111	138	1095
112	139	1092
113	140	1092
114	141	1092
115	142	1084
116	143	1082
117	144	1079
118	145	1076
119	146	1074
120	147	1070
121	147	1064
122	148	1059
123	149	1058
124	150	1056
125	151	1052
126	152	1050
127	153	1046
128	154	1044
129	156	1045
130	157	1045
131	158	1043
132	159	1036
133	160	1034
134	161	1032
135	162	1030
136	162	1025
137	163	1023
138	165	1022
139	166	1020
140	167	1017
141	168	1018
142	170	1020
143	171	1020
144	172	1017
145	173	1015
146	174	1010
147	174	1004
148	175	1001
149	176	999
150	177	996
151	177	992
152	178	989
153	179	987
154	180	985
155	181	984
156	182	980
157	183	978
158	184	974
159	185	972
160	186	970
161	187	968
162	187	964
163	190	971
164	193	980
165	195	984
166	197	985
167	199	986
168	200	988
169	201	984
170	204	992
171	206	992
172	206	989
173	207	984
174	208	982
175	209	978
176	209	975
177	210	974
178	211	971
179	212	968
180	213	965
181	214	963
182	215	962
183	216	960
184	217	958
185	218	955
186	218	951
187	220	951
188	220	947
189	221	943
190	222	942
191	222	938
192	224	938
193	225	936
194	226	933
195	227	932
196	227	928
197	228	925
198	229	923
199	230	922
200	232	922
201	232	918
202	233	915
203	233	912
204	235	911
205	236	910
206	237	909
207	238	906
208	238	903
209	239	900
210	239	896
211	241	896
212	242	896
213	244	897
214	245	894
215	245	892
216	246	890
217	247	887
218	248	887
219	249	883
220	250	882
221	251	880
222	252	878
223	253	878
224	254	878
225	256	879
226	258	879
227	258	876
228	259	875
229	260	873
230	261	870
231	262	867
232	262	864
233	263	862
234	264	861
235	265	859
236	267	860
237	268	858
238	269	857
239	270	855
240	271	854
241	272	853
242	273	852
243	274	851
244	275	849
245	276	846
246	277	845
247	277	842
248	278	841
249	279	839
250	280	837
251	282	837
252	283	836
253	284	836
254	286	835
255	286	834
256	288	832
257	289	831
258	290	830
259	291	828
260	291	826
261	292	823
262	292	820
263	293	819
264	294	817
265	295	815
266	297	815
267	298	816
268	300	816
269	301	815
270	302	814
271	303	813
272	304	811
273	305	810
274	307	809
275	308	808
276	309	808
277	311	808
278	312	808
279	314	809
280	315	808
281	316	806
282	317	804
283	318	803
284	319	802
285	320	800
286	321	798
287	322	796
288	322	794
289	323	792
290	324	791
291	325	790
292	326	787
293	327	787
294	329	787
295	330	786
296	331	784
297	332	783
298	333	781
299	334	780
300	335	779
301	336	778
302	337	776
303	339	776
304	340	775
305	341	774
306	342	774
307	344	774
308	345	773
309	346	771
310	347	770
311	348	769
312	349	767
313	350	766
314	351	763
315	352	762
316	353	761
317	354	760
318	355	759
319	356	758
320	357	757
321	358	755
322	359	754
